Item,ORIGEN PROVEEDOR,PROVEEDOR CCIAL,Estado,COMPRAS
571638,0001 - NACIONAL,0011 - ARCOLI,Bloqueado,0002 - NO
571729,0001 - NACIONAL,0011 - ARCOLI,Bloqueado,0002 - NO
571877,0001 - NACIONAL,0011 - ARCOLI,Bloqueado,0002 - NO
571919,0001 - NACIONAL,0011 - ARCOLI,Bloqueado,0002 - NO
573915,0001 - NACIONAL,0115 - PCP,Inactivo,0002 - NO
573956,0001 - NACIONAL,0115 - PCP,Bloqueado,0002 - NO
574111,0001 - NACIONAL,0115 - PCP,Bloqueado,0002 - NO
574293,0001 - NACIONAL,0115 - PCP,Inactivo,0002 - NO
574350,0001 - NACIONAL,0115 - PCP,Inactivo,0002 - NO
574715,0001 - NACIONAL,0115 - PCP,Bloqueado,0002 - NO
574897,0001 - NACIONAL,0115 - PCP,Inactivo,0002 - NO
168138, ,9999 - OTROS,Activo,0002 - NO
169359, ,9999 - OTROS,Inactivo,0002 - NO
200754, ,0223 - STANLEY BLACK & DECKER,Activo,0002 - NO
203204, ,0223 - STANLEY BLACK & DECKER,Activo,0002 - NO
43949,0001 - NACIONAL,0010 - GRUPO APEX,Activo,0002 - NO
265611,0001 - NACIONAL,0014 - AVE,Bloqueado,0002 - NO
17204,0001 - NACIONAL,0223 - STANLEY BLACK & DECKER,Bloqueado,0002 - NO
17376,0001 - NACIONAL,0223 - STANLEY BLACK & DECKER,Bloqueado,0002 - NO
17221,0001 - NACIONAL,0223 - STANLEY BLACK & DECKER,Bloqueado,0002 - NO
41780,0001 - NACIONAL,0193 - ILUMAX,Bloqueado,0002 - NO
42713,0001 - NACIONAL,0193 - ILUMAX,Bloqueado,0002 - NO
41607,0001 - NACIONAL,0086 - INCOLMA,Activo,0002 - NO
41610,0001 - NACIONAL,0086 - INCOLMA,Bloqueado,0002 - NO
41616,0001 - NACIONAL,0086 - INCOLMA,Bloqueado,0002 - NO
750836,0001 - NACIONAL,0086 - INCOLMA,Activo,0002 - NO
751073,0001 - NACIONAL,0086 - INCOLMA,Bloqueado,0002 - NO
